HDHF,HDLF,LDHF,LDLF
1,1,1,1
1,1,1,1
0.999271210211238,0.999619219729582,0.999271210211238,0.999619219729582
0.997789309040086,0.998843031312777,0.997807803972616,0.998852734858312
0.995522869827226,0.997655479772199,0.995598885390944,0.99769556972769
0.992433749363537,0.996039331012268,0.992628893492034,0.996142757308192
0.988477827998884,0.993976174291119,0.988878190223408,0.994189410016049
0.983606137905894,0.991446587087143,0.984323829290726,0.991830800569224
0.977766395727938,0.988430368439193,0.978940497163199,0.989062451647517
0.970904924022575,0.984906843913716,0.972701609625111,0.985880232710506
0.962968904127728,0.98085524127664,0.965580537285984,0.982280461940591
0.953804967223212,0.976255130829624,0.957528812121494,0.978260010940744
0.943254707780157,0.971086918522061,0.94847532624729,0.973816409551702
0.931165607455441,0.965332373911936,0.938352852950636,0.968947947984259
0.917399898991946,0.958975169563001,0.927100715722819,0.963653773407516
0.901844314497767,0.952001404393989,0.914667643229639,0.957933978206338
0.884419049022062,0.944400081675191,0.901014553438327,0.951789677325257
0.865084176220562,0.936149568511956,0.886116979838042,0.945223072447002
0.84384224551712,0.927221093255367,0.869966871785367,0.938237501197288
0.820736776398786,0.917590075054466,0.852573574153792,0.930831173755149
0.795847481699499,0.907237001536597,0.83396390732185,0.923000286756372
0.769283854582124,0.896148159942683,0.814181401668115,0.914742637516366
0.741178972881693,0.88431616148303,0.793284859976316,0.906057736522932
0.711685035372749,0.87174021856498,0.771346500695549,0.896946894919577
0.680971496706737,0.858426161471298,0.748449963053155,0.88741328319382
0.649226012798676,0.844386210710401,0.724688436255414,0.877461958662846
0.616657975639857,0.829638548560641,0.700163127056339,0.867099860935052
0.583504362351838,0.814206753764966,0.674982227391742,0.856335776190394
0.550038169819509,0.798119173977324,0.649260514411225,0.845180272725719
0.516581477353607,0.78140831064213,0.623119743797757,0.83364561162209
0.483529980716324,0.764110281761233,0.596690142777553,0.821745637502634
0.45140827147,0.746264412136563,0.570113702265222,0.809495655091666
0.421003977752261,0.727912981401138,0.543550932470933,0.796912297631404
0.392769570868071,0.709101140495986,0.517195129400287,0.784013393177112
0.366839187154365,0.689876989565135,0.491304279814392,0.770817834427612
0.343288501697561,0.670291796056416,0.466276725782193,0.757345457136139
0.321830535798452,0.650400322003171,0.44231579830426,0.74361693138392
0.302169793669644,0.630261224596514,0.419488453708285,0.729653669190546
0.28413544642453,0.609937495028149,0.397938050584011,0.715477751187406
0.267626940554791,0.589496908850871,0.377738386557691,0.701111874498637
0.252570231350277,0.569012480230373,0.358780006876406,0.68657932366795
0.238897360950985,0.548562949211404,0.340907790450105,0.671903966565251
0.226538248551807,0.528233398286439,0.324028196245307,0.657110277868278
0.215418147716385,0.508116216507318,0.308104241416813,0.642223394181668
0.205457700362551,0.488312855058617,0.29312829925188,0.627269207504836
0.196574140832993,0.468937257587512,0.279103041947297,0.612274508204182
0.188682935482288,0.450122792366836,0.266030830908785,0.597267195906969
0.181699486346758,0.432024832234936,0.25390832279788,0.582276588547504
0.175540700465612,0.414665757380363,0.242724066821116,0.567333879150872
0.170126322432304,0.398079352567861,0.232457830948422,0.55247282209235
0.16537998626258,0.382308639065563,0.223080948586872,0.537730784978962
0.16122998038163,0.367394147793363,0.214557269075728,0.523150396423635
0.157609743775116,0.353347240623761,0.206844447913423,0.508782186940944
0.154458125808121,0.340133631209062,0.199895395735609,0.494688924278904
0.151719449304694,0.327693856240582,0.193659755363972,0.480892071648109
0.149343418161019,0.315972319023069,0.188085311795161,0.467400204120328
0.147284908747047,0.304927241346511,0.183119268765951,0.454225333950808
0.145503680082028,0.294527923629242,0.178709350279117,0.441382915046095
0.143964032392591,0.284749818181924,0.174804706613008,0.428891673276381
0.142634438010195,0.275570969362777,0.171356621524333,0.416772427557048
0.14148716318619,0.266970007868957,0.168319030300218,0.405044650056593
0.140497894613805,0.258925195772411,0.165648867088385,0.39372051375524
0.139645380390081,0.251414081909354,0.163306264964943,0.382799695902145
0.138911091852441,0.244413484349669,0.161254634165788,0.372270287739113
0.138278910137256,0.237899634105311,0.159460643585335,0.3621158901062
0.13773483934626,0.231848386979926,0.157894128784267,0.352322663720701
0.137266746771297,0.226235452935111,0.156527946990283,0.342882101800895
0.136864129618727,0.221036616583787,0.155337796425619,0.333790369606839
0.136517907000701,0.216227936063008,0.154302014112178,0.325046499198549
0.136220235542272,0.211785915101642,0.153401363322298,0.31665074413583
0.135964346725295,0.207687647192257,0.15261881919182,0.308603438101242
0.13574440399948,0.203910932903074,0.151939358749325,0.300904302189758
0.135555377696336,0.200434372388921,0.15134975974762,0.293552064656951
0.135392935851412,0.197237435576211,0.150838411186351,0.286544279097191
0.135253349150474,0.194300512589142,0.150395137246642,0.27987726439777
0.135133408348629,0.191604946911856,0.150011035472062,0.273546118947905
0.135030352655537,0.189133053631786,0.149678329376468,0.26754478041799
0.134941807726106,0.186868124929088,0.149390235193447,0.261866113711537
0.13486573203856,0.184794424789098,0.149140842164325,0.256502016226969
0.134800370577009,0.182897174729861,0.148925005558223,0.251443533305187
0.134744214861278,0.181162532159231,0.14873825150035,0.246680978894759
0.134695968481813,0.179577562807191,0.148576692631058,0.242204057751769
0.134654517401625,0.178130208519159,0.148436953610152,0.238001986310444
0.134618904380579,0.176809251544998,0.148316105504707,0.234063609937089
0.134588306960464,0.175604276316427,0.148211608143404,0.230377514732391
0.134562018522769,0.17450562957256,0.148121259578276,0.226932132435648
0.134539431995849,0.173504379569842,0.148043151859796,0.223715837335596
0.134520025844856,0.172592274998882,0.147975632399143,0.220717034415941
