0.88484,0.79332,0.79332,0.79332,0.79332,0.79332,0.79332,0.79332,0.79332,0.79332,0.79332
0.89014,0.80109,0.80109,0.80109,0.80109,0.80109,0.80109,0.80109,0.80109,0.80109,0.80109
0.89454,0.80785,0.80785,0.80785,0.80785,0.80785,0.80785,0.80785,0.80785,0.80785,0.80785
0.89816,0.8137,0.8137,0.8137,0.8137,0.8137,0.8137,0.8137,0.8137,0.8137,0.8137
0.90112,0.81878,0.81878,0.81878,0.81878,0.81878,0.81878,0.81878,0.81878,0.81878,0.81878
0.90354,0.82319,0.82319,0.82319,0.82319,0.82319,0.82319,0.82319,0.82319,0.82319,0.82319
0.90551,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827
0.90711,0.83031,0.83031,0.83031,0.83031,0.83031,0.83031,0.83031,0.83031,0.83031,0.83031
0.9084,0.83317,0.83317,0.83317,0.83317,0.83317,0.83317,0.83317,0.83317,0.83317,0.83317
0.90945,0.83566,0.83566,0.83566,0.83566,0.83566,0.83566,0.83566,0.83566,0.83566,0.83566
0.91029,0.83781,0.83781,0.83781,0.83781,0.83781,0.83781,0.83781,0.83781,0.83781,0.83781
0.91097,0.83967,0.83967,0.83967,0.83967,0.83967,0.83967,0.83967,0.83967,0.83967,0.83967
0.91152,0.84129,0.84129,0.84129,0.84129,0.84129,0.84129,0.84129,0.84129,0.84129,0.84129
0.91196,0.84269,0.84269,0.84269,0.84269,0.84269,0.84269,0.84269,0.84269,0.84269,0.84269
0.91232,0.84391,0.84391,0.84391,0.84391,0.84391,0.84391,0.84391,0.84391,0.84391,0.84391
0.91261,0.84497,0.84497,0.84497,0.84497,0.84497,0.84497,0.84497,0.84497,0.84497,0.84497
0.91285,0.84588,0.84588,0.84588,0.84588,0.84588,0.84588,0.84588,0.84588,0.84588,0.84588
0.91304,0.84667,0.84667,0.84667,0.84667,0.84667,0.84667,0.84667,0.84667,0.84667,0.84667
0.91319,0.84736,0.84736,0.84736,0.84736,0.84736,0.84736,0.84736,0.84736,0.84736,0.84736
0.91332,0.84796,0.84796,0.84796,0.84796,0.84796,0.84796,0.84796,0.84796,0.84796,0.84796
0.91342,0.84847,0.84847,0.84847,0.84847,0.84847,0.84847,0.84847,0.84847,0.84847,0.84847
0.9135,0.84892,0.84892,0.84892,0.84892,0.84892,0.84892,0.84892,0.84892,0.84892,0.84892
0.91357,0.84931,0.84931,0.84931,0.84931,0.84931,0.84931,0.84931,0.84931,0.84931,0.84931
0.91362,0.84965,0.84965,0.84965,0.84965,0.84965,0.84965,0.84965,0.84965,0.84965,0.84965
0.91367,0.84994,0.84994,0.84994,0.84994,0.84994,0.84994,0.84994,0.84994,0.84994,0.84994
0.9137,0.8502,0.8502,0.8502,0.8502,0.8502,0.8502,0.8502,0.8502,0.8502,0.8502
0.91373,0.85042,0.85042,0.85042,0.85042,0.85042,0.85042,0.85042,0.85042,0.85042,0.85042
0.91376,0.85061,0.85061,0.85061,0.85061,0.85061,0.85061,0.85061,0.85061,0.85061,0.85061
0.91378,0.85077,0.85077,0.85077,0.85077,0.85077,0.85077,0.85077,0.85077,0.85077,0.85077
0.91379,0.85092,0.85092,0.85092,0.85092,0.85092,0.85092,0.85092,0.85092,0.85092,0.85092
0.91381,0.85104,0.85104,0.85104,0.85104,0.85104,0.85104,0.85104,0.85104,0.85104,0.85104
0.91382,0.85115,0.85115,0.85115,0.85115,0.85115,0.85115,0.85115,0.85115,0.85115,0.85115
0.91383,0.85124,0.85124,0.85124,0.85124,0.85124,0.85124,0.85124,0.85124,0.85124,0.85124
0.91383,0.85132,0.85132,0.85132,0.85132,0.85132,0.85132,0.85132,0.85132,0.85132,0.85132
0.91384,0.85139,0.85139,0.85139,0.85139,0.85139,0.85139,0.85139,0.85139,0.85139,0.85139
0.91384,0.85146,0.85146,0.85146,0.85146,0.85146,0.85146,0.85146,0.85146,0.85146,0.85146
0.91385,0.85151,0.85151,0.85151,0.85151,0.85151,0.85151,0.85151,0.85151,0.85151,0.85151
0.91385,0.85155,0.85155,0.85155,0.85155,0.85155,0.85155,0.85155,0.85155,0.85155,0.85155
0.91385,0.85159,0.85159,0.85159,0.85159,0.85159,0.85159,0.85159,0.85159,0.85159,0.85159
0.91386,0.85163,0.85163,0.85163,0.85163,0.85163,0.85163,0.85163,0.85163,0.85163,0.85163
0.91386,0.85166,0.85166,0.85166,0.85166,0.85166,0.85166,0.85166,0.85166,0.85166,0.85166
0.91386,0.85169,0.85169,0.85169,0.85169,0.85169,0.85169,0.85169,0.85169,0.85169,0.85169
0.91386,0.85171,0.85171,0.85171,0.85171,0.85171,0.85171,0.85171,0.85171,0.85171,0.85171
0.91386,0.85173,0.85173,0.85173,0.85173,0.85173,0.85173,0.85173,0.85173,0.85173,0.85173
0.91386,0.85174,0.85174,0.85174,0.85174,0.85174,0.85174,0.85174,0.85174,0.85174,0.85174
0.91386,0.85176,0.85176,0.85176,0.85176,0.85176,0.85176,0.85176,0.85176,0.85176,0.85176
0.91386,0.85177,0.85177,0.85177,0.85177,0.85177,0.85177,0.85177,0.85177,0.85177,0.85177
0.91387,0.85178,0.85178,0.85178,0.85178,0.85178,0.85178,0.85178,0.85178,0.85178,0.85178
0.91387,0.85179,0.85179,0.85179,0.85179,0.85179,0.85179,0.85179,0.85179,0.85179,0.85179
0.91387,0.8518,0.8518,0.8518,0.8518,0.8518,0.8518,0.8518,0.8518,0.8518,0.8518
0.91387,0.85181,0.85181,0.85181,0.85181,0.85181,0.85181,0.85181,0.85181,0.85181,0.85181
