HDHF,HDLF,LDHF,LDLF
1,1,1,1
1,1,1,1
0.99943527215502,0.999850817286757,0.99943527215502,0.999850817286757
0.997989338591293,0.999248081084151,0.998003678277385,0.999251888024463
0.995630876527723,0.998174742412544,0.995697283122045,0.9981980676312
0.99230185251131,0.99661271966861,0.992494104289692,0.996684620502538
0.987923126731958,0.994541826714211,0.988362036127128,0.994706780704015
0.982396202823446,0.991937508558905,0.983260659989315,0.992258637140872
0.975605188759473,0.988772907533174,0.9771428635465,0.989334275508418
0.967420666326885,0.985019142382099,0.969956919042435,0.985927907583169
0.957705845493647,0.980645748313265,0.961649020656224,0.982034019046746
0.946325014742704,0.975621291841795,0.952166224274673,0.977647533140559
0.933153720824272,0.969914161572625,0.941459661976452,0.972763986333823
0.918089450539175,0.963493518767441,0.929487831193768,0.967379711113669
0.901061100816256,0.956330370954474,0.916219703128965,0.96149202007463
0.882035502976973,0.948398710546735,0.901637375784046,0.955099384801889
0.861019858533783,0.939676642182312,0.885738027164361,0.948201602707761
0.838060001454764,0.930147411573184,0.868535004519593,0.940799945072055
0.813235518487037,0.919800248828278,0.850058001294594,0.932897280096234
0.7866534884386,0.908630952556102,0.830352398471435,0.924498165804412
0.758442711886614,0.89664216690177,0.809477952048719,0.915608909055341
0.72874987553859,0.883843338405581,0.787507071703136,0.906237588664203
0.697738426654127,0.87025037725534,0.764522949318458,0.896394042528878
0.665590375210295,0.855885081390005,0.740617766517506,0.886089820549776
0.63251117016681,0.840774406206334,0.715891153576345,0.875338106862992
0.598738934826063,0.824949673928429,0.6904490068466,0.864153616332964
0.564564199653369,0.808445814636534,0.66440271429881,0.852552471270556
0.530385073595918,0.791300717820089,0.637868801361469,0.840552064902157
0.496898327520987,0.773554753142348,0.610969003578846,0.828170918212275
0.465799044375904,0.755250496469816,0.583830819404343,0.815428536459181
0.441462885711046,0.736432676416987,0.556588747210312,0.802345270998073
0.428034069030205,0.717148341385043,0.529386801004928,0.788942191137012
0.42024972976148,0.697447240921044,0.502383885783252,0.775240969702106
0.412508479948504,0.677382423147663,0.475766112434033,0.761263784898662
0.403081982188526,0.657011081478116,0.449776273505926,0.747033240008597
0.392021859800936,0.636395759421227,0.424783419999284,0.732572301527
0.379984614050646,0.615606188282646,0.401424096455583,0.717904255558979
0.367590210592824,0.594722394285391,0.380754043818208,0.703052681702881
0.355215844306005,0.573840510085689,0.363945204790055,0.688041443258864
0.343072777770663,0.553084507823924,0.351073079049405,0.672894692442653
0.331282621370184,0.532631016271108,0.340757677225011,0.657636889382484
0.319915839706182,0.512762599895428,0.331522272378974,0.642292834085247
0.309011893599544,0.493978426664637,0.32254694500487,0.626887711370661
0.298591226561059,0.477193592563955,0.313565919638148,0.611447150154264
0.288662977228749,0.463952087333392,0.304599427616669,0.595997300687152
0.279230105128749,0.456194376563632,0.295756391805159,0.580564936884925
0.27029287680288,0.455118346119028,0.287142863541021,0.565177596430551
0.261851331796229,0.460439747245835,0.278840115637332,0.54986378007921
0.253907127592431,0.467143413102999,0.27090785199276,0.534653245350302
0.246464959890113,0.474175769749854,0.26339172684065,0.519577451336128
0.239533532390413,0.481378332092687,0.256329352469686,0.504670244672937
0.233125796627971,0.48866188476539,0.249753674769548,0.489968926843855
0.227257943444734,0.495971594354084,0.243693652546673,0.475515914183621
0.221946564307193,0.503268263542969,0.238172483720586,0.461361290834248
0.217203785672153,0.510519992542859,0.233204050992421,0.447566630103844
0.213031179016691,0.517698768359,0.228788908239293,0.434210412543685
0.209414477120248,0.524779141114252,0.224911589224177,0.421394924452454
0.206321523739617,0.531737708954414,0.221540702614111,0.409253183077689
0.203704640361537,0.538552838042248,0.218632080716915,0.397951825508507
0.201506397277489,0.545204387793013,0.216133895304064,0.387682965464255
0.199666367305806,0.551673425075347,0.213992050534826,0.378638205714142
0.198126692695341,0.557942038121344,0.212154517134626,0.370965644260266
0.196835515665445,0.563993373360184,0.210574067615598,0.364725740814988
0.195748408138668,0.569811926362756,0.209209529723019,0.359871890403356
0.19482842002424,0.575384002486232,0.20802597625093,0.356268630107921
0.194045379119318,0.58069820596538,0.206994291409003,0.353733213611304
0.193374897583189,0.585745834280264,0.20609045002397,0.352075525053603
0.192797349773072,0.590521110765192,0.205294722491581,0.35112268763119
0.192296948425672,0.595021242653528,0.204590920676394,0.350728752700703
0.191860963975238,0.599246326153629,0.203965735903178,0.350775295230118
0.191479089490099,0.603199134875857,0.203408183306266,0.351168041528877
0.191142935317629,0.60688482979147,0.202909148030218,0.35183247693933
0.190845631839969,0.610310624409815,0.202461020743512,0.352709737869011
0.190581519061585,0.613485432191104,0.202057407702956,0.353753209099097
0.19034590446384,0.61641951649977,0.201692901217202,0.354925859189709
0.190134873889277,0.619124157515236,0.201362898143866,0.35619820947158
0.189945143369877,0.621611345681193,0.201063456153977,0.357546803636651
0.189773942501822,0.62389350744921,0.20079117950082,0.358953056750316
0.189618922142001,0.625983266127095,0.20054312777245,0.360402385123916
0.189478080904584,0.627893238433613,0.200316742546676,0.361883540691605
0.189349706247183,0.629635865758503,0.200109788019991,0.363388091965539
0.189232326935148,0.631223278017673,0.199920302586412,0.364910008037786
0.189124674429529,0.632667187281301,0.199746559042357,0.366445313253324
0.189025651316549,0.633978807954059,0.199587031630949,0.36799178907856
0.18893430532913,0.635168800129835,0.199440368548939,0.369548707123178
0.188849807838656,0.636247232766571,0.199305368851145,0.371116583672493
0.188771435944007,0.637223563477995,0.199180962924066,0.372696951506336
0.188698557474543,0.638106631975199,0.199066195880266,0.374292148998158
